"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-01 00:00","2023","11","01","00:00","2.0","","-3.0","","70","","0.0","","","","","","","","100.22","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-01 01:00","2023","11","01","01:00","1.5","","-2.8","","73","","0.0","","","","","","","","100.25","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-01 02:00","2023","11","01","02:00","0.8","","-2.6","","78","","0.0","","","","","","","","100.25","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-01 03:00","2023","11","01","03:00","0.7","","-2.8","","78","","0.0","","","","","","","","100.28","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-01 04:00","2023","11","01","04:00","0.5","","-2.8","","79","","0.0","","","","","","","","100.31","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-01 05:00","2023","11","01","05:00","0.5","","-3.1","","76","","0.0","","","","","","","","100.37","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-01 06:00","2023","11","01","06:00","0.4","","-4.3","","71","","0.0","","","","","","","","100.46","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-01 07:00","2023","11","01","07:00","0.2","","-4.5","","71","","0.0","","","","","","","","100.51","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-01 08:00","2023","11","01","08:00","0.5","","-4.6","","69","","0.0","","","","","","","","100.65","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-01 09:00","2023","11","01","09:00","1.3","","-4.2","","67","","0.0","","","","","","","","100.76","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-01 10:00","2023","11","01","10:00","2.5","","-4.2","","61","","0.0","","","","","","","","100.85","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-01 11:00","2023","11","01","11:00","3.3","","-4.8","","55","","0.0","","","","","","","","100.90","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-01 12:00","2023","11","01","12:00","4.6","","-5.1","","49","","0.0","","","","","","","","100.92","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-01 13:00","2023","11","01","13:00","4.3","","-5.0","","51","","0.0","","","","","","","","100.92","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-01 14:00","2023","11","01","14:00","5.1","","-5.1","","48","","0.0","","","","","","","","100.93","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-01 15:00","2023","11","01","15:00","5.0","","-5.5","","46","","0.0","","","","","","","","100.94","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-01 16:00","2023","11","01","16:00","4.7","","-5.9","","46","","0.0","","","","","","","","100.97","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-01 17:00","2023","11","01","17:00","4.1","","-7.4","","43","","0.0","","","","","","","","101.02","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-01 18:00","2023","11","01","18:00","3.1","","-7.4","","46","","0.0","","","","","","","","101.08","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-01 19:00","2023","11","01","19:00","2.7","","-7.7","","47","","0.0","","","","","","","","101.14","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-01 20:00","2023","11","01","20:00","2.7","","-7.2","","48","","0.0","","","","","","","","101.18","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-01 21:00","2023","11","01","21:00","2.7","","-6.6","","51","","0.0","","","","","","","","101.17","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-01 22:00","2023","11","01","22:00","3.2","","-6.6","","48","","0.0","","","","","","","","101.17","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-01 23:00","2023","11","01","23:00","3.6","","-4.6","","55","","0.0","","","","","","","","101.19","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-02 00:00","2023","11","02","00:00","3.5","","-4.1","","57","","0.0","","","","","","","","101.20","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-02 01:00","2023","11","02","01:00","3.5","","-4.9","","54","","0.0","","","","","","","","101.23","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-02 02:00","2023","11","02","02:00","3.7","","-6.1","","49","","0.0","","","","","","","","101.26","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-02 03:00","2023","11","02","03:00","3.6","","-6.4","","48","","0.0","","","","","","","","101.25","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-02 04:00","2023","11","02","04:00","3.5","","-5.9","","50","","0.0","","","","","","","","101.23","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-02 05:00","2023","11","02","05:00","3.5","","-5.0","","54","","0.0","","","","","","","","101.24","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-11-02 06:00","2023","11","02","06:00","3.4","","-4.5","","56","","0.0","","","","","","","","101.26","","","","","","NA"
